Title,Poem,Poet,Emotion
Actaeon,"The hounds, you know them all by name. You fostered them from purblind whelps At their dam’s teats, and you have come To know the music of their yelps: High-strung Anthee, the brindled bitch, The blue-tick coated Philomel, And freckled Chloe, who would fetch A pretty price if you would sell— All fleet of foot, and swift to scent, Inexorable once on the track, Like angry words you might have meant, But do not mean, and can’t take back. There was a time when you would brag How they would bay and rend apart The hopeless belling from a stag. You falter now for the foundered hart. Desires you nursed of a winter night— Did you know then why you bred them— Whose needling milk-teeth used to bite The master’s hand that leashed and fed them?",A. E. Stallings,Anger
Recitative,"Every night, we couldn’t sleep. Our upstairs neighbors had to keep Dropping something down the hall— A barbell or a bowling ball, And from the window by the bed, Echoing inside my head, Alley cats expended breath In arias of love and death. Dawn again, across the street, Jackhammers began to beat Like hangovers, and you would frown— That well-built house, why tear it down? Noon, the radiator grill Groaned, gave off a lesser chill So that we could take off our coats. The pipes coughed to clear their throats. Our nerves were frayed like ravelled sleeves, We cherished each our minor griefs To keep them warm until the night, When it was time again to fight; But we were young, did not need much To make us laugh instead, and touch, And could not hear ourselves above The arias of death and love.",A. E. Stallings,Fear
"Written on the eve of my 20th high school reunion, which I was not able to attend","For the Briarcliff High School class of 1986Just what I needed, Just when the dreams had almost totally receded, The dreams of roles for which I learned no lines and knew no cues, Dreams of pop quizzes with no pants on and no shoes, Just when I understood I was no longer among Those ephemeral immortals, the gauche and pitiable young, Suddenly come phone calls, messages sift out of the air To ask who will be there: Names I haven't given a thought to in a score (A score!) of years, and names I used to think about but don't much anymore, And those I think of all the time and yet Have lost somehow like keys to doors I've closed, and some I have tried to forget— And some who will never arrive at this date Here in the distant future where we wait Still surprised at how We carry with us the omnipresent and ever-changing now. We wince at what we used to wear, Fashion has made ridiculous the high hubris of our hair. Heartbreak, looked at through the wrong end of distance's glasses, Is trivial, and quickly passes, Its purity embarrasses us, its lust, The way we wept because it was unjust. Why should we travel back, who've come so far— We know who we are. How can we be the same As those quaint ancestors we have left behind, who share our name— Why have we inherited their shame?",A. E. Stallings,Joy
Sublunary,"Mid-sentence, we remembered the eclipse, Arguing home through our scant patch of park Still warm with barrel wine, when none too soon We checked the hour by glancing at the moon, Unphased at first by that old ruined marble Looming like a monument over the hill, So brimmed with light it seemed about to spill, Then, there! We watched the thin edge disappear— The obvious stole over us like awe, That it was our own silhouette we saw, Slow perhaps to us moon-gazing here (Reaching for each other's fingertips) But sweeping like a wing across that stark Alien surface at the speed of dark. The crickets stirred from winter sleep to warble Something out of time, confused and brief, The roosting birds sang out in disbelief, The neighborhood's stray dogs began to bark. And then the moon was gone, and in its place, A dim red planet hung just out of reach, As real as a bitter orange or ripened peach In the penumbra of a tree. At last We rose and strolled at a reflective pace Past the taverna crammed with light and smoke And people drinking, laughing at a joke, Unaware that anything had passed Outside in the night where we delayed Sheltering in the shadow we had made.",A. E. Stallings,Fear
Containment,"So long I have been carrying myself Carefully, carefully, like a small child With too much water in a real glass Clasped in two hands, across a space as vast As living rooms, while gazes watch the waves That start to rile the little inland sea And slap against its cliffs' transparency, Revise and meet, double their amplitude, Harmonizing doubt from many ifs. Distant frowns like clouds begin to brood. Soon there is overbrimming. Soon the child Looks up to find a face to match the scolding, And just as he does, the vessel he was holding Is almost set down safely on the bookshelf.",A. E. Stallings,Joy
Failure,"You humble in. It's just as you remember: The sallow walls, formica counter top, The circular argument of time beneath Fluorescent flickering—doubt, faith, and doubt. She knows you've been to see the gilded girl Who's always promising and walking out With someone else. She knew that you'd return, With nothing in your pockets but your fists. Why do you resist? When will you learn That this is what your weary dreams are of— Succumbing to Her unconditional love?",A. E. Stallings,Sadness
The Mother’s Loathing of Balloons,"I hate you,How the children pleadAt ﬁrst sight—",A. E. Stallings,Anger
Arrowhead Hunting,"The land is full of what was lost. What's hidden Rises to the surface after rain In new-ploughed fields, and fields stubbled again: The clay shards, foot and lip, that heaped the midden, And here and there a blade or flakes of blade, A patient art, knapped from a core of flint, Most broken, few as coins new from the mint, Perfect, shot through time as through a glade. You cannot help but think how they were lost: The quarry, fletched shaft in its flank, the blood Whose trail soon vanished in the antlered wood, Not just the meat, but what the weapon cost— O hapless hunter, though your aim was true— The wounded hart, spooked, fleeting in its fear— And the sharpness honed with longing, year by year Buried deeper, found someday, but not by you.",A. E. Stallings,Sadness
The Companions of Odysseus in Hades,"After SeferisSince we still had a littleOf the rusk left, what foolsTo eat, against the rules,The Sun’s slow-moving cattle,Each ox huge as a tank — A wall you’d have to siegeFor forty years to reachA star, a hero’s rank.We starved on the back of the earth,But when we’d stuffed ourselves,We tumbled to these delves,Numbskulls, fed up with dearth.",A. E. Stallings,Fear
Fairy-tale Logic,"Fairy tales are full of impossible tasks:Gather the chin hairs of a man-eating goat,Or cross a sulphuric lake in a leaky boat,Select the prince from a row of identical masks,Tiptoe up to a dragon where it basksAnd snatch its bone; count dust specks, mote by mote,Or learn the phone directory by rote.Always it’s impossible what someone asks—You have to fight magic with magic. You have to believeThat you have something impossible up your sleeve,The language of snakes, perhaps, an invisible cloak,An army of ants at your beck, or a lethal joke,The will to do whatever must be done:Marry a monster. Hand over your firstborn son.",A. E. Stallings,Surprise
Fear of Happiness,"Looking back, it’s something I’ve always had:As a kid, it was a glass-floored elevatorI crouched at the bottom of, my eyes squinched tight,Or staircase whose gaps I was afraid I’d slip through,Though someone always said I’d be all right—Just don’t look down or See, it’s not so bad(The nothing rising underfoot). Then laterThe high-dive at the pool, the tree-house perch,Ferris wheels, balconies, cliffs, a penthouse view,The merest thought of airplanes. You can callIt a fear of heights, a horror of the deep;But it isn’t the unfathomable fallThat makes me giddy, makes my stomach lurch,It’s that the ledge itself invents the leap.",A. E. Stallings,Fear
Two Violins,"One was fire red,   Hand carved and new— The local maker pried the wood From a torn-down church's pew, The Devil's instrument Wrenched from the house of God. It answered merrily and clear Though my fingering was flawed; Bright and sharp as a young wine, They said, but it would mellow, And that I would grow into it. The other one was yellow And nicked down at the chin, A varnish of Baltic amber, A one-piece back of tiger maple And a low, dark timbre. A century old, they said, Its sound will never change. Rich and deep on G and D, Thin on the upper range, And how it came from the Old World Was anybody's guess— Light as an exile's suitcase, A belly of emptiness: That was the one I chose (Not the one of flame)   And teachers would turn in their practiced hands To see whence the sad notes came.",A. E. Stallings,Joy
Momentary,"I never glimpse her but she goesWho had been basking in the sun,Her links of chain mail one by oneAglint with pewter, bronze and rose.I never see her lying coiledAtop the garden step, or underA dark leaf, unless I blunderAnd by some motion she is foiled.Too late I notice as she passesZither of chromatic scale—I only ever see her tailQuicksilver into tall grasses.I know her only by her flowing,By her glamour disappearingInto shadow as I’m nearing—I only recognize her going.",A. E. Stallings,Surprise
Whethering,"The rain is haunted;I had forgotten.My children are two hours abedAnd yet I riseHearing behind the typing of the rain,Its abacus and digits,A voice calling me again,Softer, clearer.The kids lie buried under duvets, soundAsleep. It isn’t them I hear, it’sSomething formless that fidgetsBeyond the window’s benighted mirror,Where a negative develops, where reflectionHolds up a glass of spirits.White noisePrecipitates.Rain is a kind of recollection.Much has been shed,Hissing indignantly into the ground.It is the listeningBelates,Haunted by these fingertaps and sighsBehind the beaded-curtain glistening,As though by choices that we didn’t make and never wanted,As though by the dead and misbegotten.",A. E. Stallings,Fear
Tulips,"The tulips make me want to paint,Something about the way they dropTheir petals on the tabletopAnd do not wilt so much as faint,Something about their burnt-out hearts,Something about their pallid stemsWearing decay like diadems,Parading ﬁnishes like starts,Something about the way they twistAs if to catch the last applause,And drink the moment through long straws,And how, tomorrow, they’ll be missed.The way they’re somehow getting clearer,The tulips make me want to",A. E. Stallings,Sadness
The Barnacle,"The barnacle is rather odd —It’s not related to the clamOr limpet. It’s an arthropod,Though one that doesn’t give a damn.Cousin to the crab and shrimp,When larval, it can twitch and swim,And make decisions — tiny impThat flits according to its whim.Once grown, with nothing more to proveIt hunkers down, and will remainStuck fast. And once it does not move,Has no more purpose for a brain.Its one boast is, it will not budge,Cemented where it chanced to sink,Sclerotic, stubborn as a grudge.Settled, it does not need to think.",A. E. Stallings,Fear
Extinction of Silence,"That it was shy when alive goes without saying.We know it vanished at the sound of voicesOr footsteps. It took wing at the slightest noises,Though it could be approached by someone praying.We have no recordings of it, though of courseIn the basement of the Museum, we have some stuffedMoth-eaten specimens—the Lesser RuffedAnd Yellow Spotted—filed in narrow drawers.But its song is lost. If it was related toA species of Quiet, or of another feather,No researcher can know. Not even whetherA breeding pair still nests deep in the bayou,Where legend has it some once common birdDecades ago was first not seen, not heard.",A. E. Stallings,Fear
Blackbird Etude,"For CraigThe blackbird sings atthe frontier of his music.The branch where he satmarks the brink of doubt,is the outpost of his realm,edge from which to routencroachers with trillsand melismatic runs sur-passing earthbound skills.It sounds like ardor,it sounds like joy. We are gladhere at the borderwhere he signs the airwith his invisible staves,“Trespassers beware”—Song as survival—a kind of pure music whichwe cannot rival.",A. E. Stallings,Joy
Publication – is the Auction (788),Publication – is the AuctionOf the Mind of Man –Poverty – be justifyingFor so foul a thingPossibly – but We – would ratherFrom Our Garret goWhite – unto the White Creator –Than invest – Our Snow –Thought belong to Him who gave it –Then – to Him Who bearIt's Corporeal illustration – sellThe Royal Air –In the Parcel – Be the MerchantOf the Heavenly Grace –But reduce no Human SpiritTo Disgrace of Price –,Emily Dickinson,Anger
I started Early – Took my Dog – (656),"Highlight ActionsEnable or disable annotationsI started Early – Took my Dog –And visited the Sea –The Mermaids in the BasementBasement i.e., the bottom of the oceanCame out to look at me –And FrigatesFrigates fast and highly maneuverable warships of the 18th and 19th centuries, used to escort other larger ships, or to patrol the coast and blockade harbors – in the Upper FloorExtended Hempen HandsHempen Hands strong, thick ropes made of hemp, used on ships –Presuming Me to be a Mouse –Aground – oponopon upon the Sands –But no Man moved Me – till the TideWent past my simple Shoe –And past my Apron – and my BeltAnd past my BoddiceBoddice bodice; an upper part of a woman’s dress, or a rigid, laced corset worn underneath clothing, covering the upper part of a woman’s body – too –And made as He would eat me up –As wholly as a DewOpon a Dandelion's Sleeve –And then – I started – too –And He – He followed – close behind –I felt His Silver HeelOpon my Ancle – Then My ShoesWould overflow with Pearl –Until We met the Solid Town –No One He seemed to know –And bowing – with a Mighty look –At me – The Sea withdrew –",Emily Dickinson,Fear
"There's a certain Slant of light, (320)","There's a certain Slant of light,Winter Afternoons –That oppresses, like the HeftOf Cathedral Tunes –Heavenly Hurt, it gives us –We can find no scar,But internal difference –Where the Meanings, are –None may teach it – Any –'Tis the seal Despair –An imperial afflictionSent us of the Air –When it comes, the Landscape listens –Shadows – hold their breath –When it goes, 'tis like the DistanceOn the look of Death –",Emily Dickinson,Sadness
Now I knew I lost her — (1274),"Now I knew I lost her —Not that she was gone —But Remoteness travelledOn her Face and Tongue.Alien, though adjoiningAs a Foreign Race —Traversed she though pausingLatitudeless Place.Elements Unaltered —Universe the sameBut Love's transmigration —Somehow this had come —Henceforth to rememberNature took the DayI had paid so much for —His is PenuryNot who toils for FreedomOr for FamilyBut the RestitutionOf Idolatry.",Emily Dickinson,Sadness
A not admitting of the wound (1188),A not admitting of the woundUntil it grew so wideThat all my Life had entered itAnd there were troughs beside -A closing of the simple lid that opened to the sunUntil the tender CarpenterPerpetual nail it down -,Emily Dickinson,Love
Crumbling is not an instant's Act (1010),"Crumbling is not an instant's ActA fundamental pauseDilapidation's processesAre organized Decays —'Tis first a Cobweb on the SoulA Cuticle of DustA Borer in the AxisAn Elemental Rust —Ruin is formal — Devil's workConsecutive and slow —Fail in an instant, no man didSlipping — is Crashe's law —",Emily Dickinson,Fear
Success is counted sweetest (112),Success is counted sweetestBy those who ne'er succeed.To comprehend a nectarRequires sorest need.Not one of all the purple HostWho took the Flag todayCan tell the definitionSo clear of victoryAs he defeated – dying –On whose forbidden earThe distant strains of triumphBurst agonized and clear!,Emily Dickinson,Sadness
"A Route of Evanescence, (1489)","A Route of Evanescence,With a revolving Wheel –A Resonance of EmeraldA Rush of Cochineal –And every Blossom on the BushAdjusts it’s tumbled Head –The Mail from Tunis – probably,An easy Morning’s Ride –",Emily Dickinson,Sadness
I never hear the word “Escape” (144),"I never hear the word “Escape”Without a quicker blood,A sudden expectation –A flying attitude!I never hear of prisons broadBy soldiers battered down,But I tug childish at my barsOnly to fail again!",Emily Dickinson,Fear
I dwell in Possibility – (466),I dwell in Possibility –A fairer House than Prose –More numerous of Windows –Superior – for Doors –Of Chambers as the Cedars –Impregnable of eye –And for an everlasting RoofThe Gambrels of the Sky –Of Visitors – the fairest –For Occupation – This –The spreading wide my narrow HandsTo gather Paradise –,Emily Dickinson,Sadness
Banish Air from Air - (963),Banish Air from Air -Divide Light if you dare -They'll meetWhile Cubes in a DropOr Pellets of ShapeFit -Films cannot annulOdors return wholeForce FlameAnd with a Blonde pushOver your impotenceFlits Steam.,Emily Dickinson,Surprise
Before I got my eye put out – (336),"Before I got my eye put out –I liked as well to seeAs other creatures, that have eyes –And know no other way –But were it told to me, Today,That I might have the SkyFor mine, I tell you that my HeartWould split, for size of me –The Meadows – mine –The Mountains – mine –All Forests – Stintless stars –As much of noon, as I could take –Between my finite eyes –The Motions of the Dipping Birds –The Morning’s Amber Road –For mine – to look at when I liked,The news would strike me dead –So safer – guess – with just my soulOpon the window paneWhere other creatures put their eyes –Incautious – of the Sun –",Emily Dickinson,Love
A narrow Fellow in the Grass (1096),"A narrow Fellow in the GrassOccasionally rides -You may have met him? Did you notHis notice instant is -The Grass divides as with a Comb,A spotted Shaft is seen,And then it closes at your FeetAnd opens further on -He likes a Boggy Acre -  A Floor too cool for Corn -But when a Boy and BarefootI more than once at NoonHave passed I thought a Whip LashUnbraiding in the SunWhen stooping to secure itIt wrinkled And was gone -Several of Nature’s PeopleI know, and they know meI feel for them a transportOf CordialityBut never met this FellowAttended or aloneWithout a tighter BreathingAnd Zero at the Bone.",Emily Dickinson,Joy
Surgeons must be very careful (156),Surgeons must be very carefulWhen they take the knife!Underneath their fine incisionsStirs the Culprit - Life!,Emily Dickinson,Anger
The Soul has Bandaged moments - (360),"The Soul has Bandaged moments -When too appalled to stir -She feels some ghastly Fright come upAnd stop to look at her -Salute her, with long fingers -Caress her freezing hair -Sip, Goblin, from the very lipsThe Lover - hovered - o'er -Unworthy, that a thought so meanAccost a Theme - so - fair -The soul has moments of escape -When bursting all the doors -She dances like a Bomb, abroad,And swings opon the Hours,As do the Bee - delirious borne -Long Dungeoned from his Rose -Touch Liberty - then know no more -But Noon, and ParadiseThe Soul's retaken moments -When, Felon led along,With shackles on the plumed feet,And staples, in the song,The Horror welcomes her, again,These, are not brayed of Tongue -",Emily Dickinson,Sadness
"It was not Death, for I stood up, (355)","Highlight ActionsEnable or disable annotationsIt was not Death, for I stood up,And all the Dead, lie down -It was not Night, for all the BellsPut out their TonguesTongues The clappers inside of the bells, for Noon.It was not Frost, for on my FleshI felt SiroccosSiroccos Hot winds. The Emily Dickinson Lexicon includes definitions from the American Dictionary of the English Language (1844): “A pernicious wind that blows from the south-east in Italy, called the Syrian wind. It is said to resemble the steam from the mouth of an oven.” - crawl -Nor Fire - for just my marble feetCould keep a Chancel,Chancel The section near the altar of a church cool -And yet, it tasted, like them all,The Figures I have seenSet orderly, for BurialReminded me, of mine -As if my life were shaven,And fitted to a frame,And could not breathe without a key,And ’twas like Midnight, some -When everything that ticked - has stopped -And space stares - all around -Or Grisly frosts - first Autumn morns,Repeal the Beating Ground -But most, like Chaos - Stopless - cool -Without a Chance, or sparspar The top mast of a ship  -Or even a Report of Land -To justify - Despair.",Emily Dickinson,Love
The Moon is distant from the Sea – (387),"The Moon is distant from the Sea –And yet, with Amber Hands –She leads Him – docile as a Boy –Along appointed Sands –He never misses a Degree –Obedient to Her eye –He comes just so far – toward the Town –Just so far – goes away –Oh, Signor, Thine, the Amber Hand –And mine – the distant Sea –Obedient to the least commandThine eye impose on me –",Emily Dickinson,Joy
Much Madness is divinest Sense - (620),"Much Madness is divinest Sense -To a discerning Eye -Much Sense - the starkest Madness -’Tis the MajorityIn this, as all, prevail -Assent - and you are sane -Demur - you’re straightway dangerous -And handled with a Chain -",Emily Dickinson,Anger
The Bustle in a House (1108),The Bustle in a HouseThe Morning after DeathIs solemnest of industriesEnacted opon Earth –The Sweeping up the HeartAnd putting Love awayWe shall not want to use againUntil Eternity –,Emily Dickinson,Fear
Fame is the one that does not stay — (1507),Fame is the one that does not stay —It's occupant must dieOr out of sight of estimateAscend incessantly —Or be that most insolvent thingA Lightning in the Germ —Electrical the embryoBut we demand the Flame,Emily Dickinson,Fear
I know that He exists. (365),I know that He exists.Somewhere – in silence –He has hid his rare lifeFrom our gross eyes.’Tis an instant’s play –’Tis a fond Ambush –Just to make BlissEarn her own surprise!But – should the playProve piercing earnest –Should the glee – glaze –In Death’s – stiff – stare –Would not the funLook too expensive!Would not the jest –Have crawled too far!,Emily Dickinson,Love
In this short Life that only lasts an hour (1292),In this short Life that only lasts an hourHow much - how little - is within our power,Emily Dickinson,Fear
This World is not Conclusion (373),"This World is not Conclusion.A Species stands beyond - Invisible, as Music -But positive, as Sound -It beckons, and it baffles - Philosophy, dont know - And through a Riddle, at the last - Sagacity, must go -To guess it, puzzles scholars -To gain it, Men have borneContempt of GenerationsAnd Crucifixion, shown -Faith slips - and laughs, and rallies - Blushes, if any see - Plucks at a twig of Evidence - And asks a Vane, the way - Much Gesture, from the Pulpit -Strong Hallelujahs roll - Narcotics cannot still the ToothThat nibbles at the soul -",Emily Dickinson,Fear
Let me not thirst with this Hock at my Lip,"Let me not thirst with this Hock at my Lip, Nor beg, with domains in my pocket—",Emily Dickinson,Anger
Of Glory not a Beam is left (1685),"Of Glory not a Beam is leftBut her Eternal House –The Asterisk is for the Dead,The Living, for the Stars –",Emily Dickinson,Sadness
To fight aloud is very brave - (138),"To fight aloud, is very brave - But gallanter, I knowWho charge within the bosomThe Calvalry of Wo - Who win, and nations do not see - Who fall - and none observe - Whose dying eyes, no CountryRegards with patriot love - We trust, in plumed processionFor such, the Angels go -Rank after Rank, with even feet -And Uniforms of snow.",Emily Dickinson,Joy
I never hear that one is dead (1325),"I never hear that one is deadWithout the chance of LifeAfresh annihilating meThat mightiest Belief,Too mighty for the Daily mindThat tilling it’s abyss,Had Madness, had it once or, TwiceThe yawning Consciousness,Beliefs are Bandaged, like the TongueWhen Terror were it toldIn any Tone commensurateWould strike us instant Dead -I do not know the man so boldHe dare in lonely PlaceThat awful stranger - ConsciousnessDeliberately face -",Emily Dickinson,Sadness
It sifts from Leaden Sieves - (291),"It sifts from Leaden Sieves -It powders all the Wood.It fills with Alabaster WoolThe Wrinkles of the Road -It makes an even FaceOf Mountain, and of Plain -Unbroken Forehead from the EastUnto the East again -It reaches to the Fence -It wraps it Rail by RailTill it is lost in Fleeces -It deals Celestial VailTo Stump, and Stack - and Stem -A Summer’s empty Room -Acres of Joints, where Harvests were,Recordless, but for them -It Ruffles Wrists of PostsAs Ankles of a Queen -Then stills it’s Artisans - like Ghosts -Denying they have been -",Emily Dickinson,Sadness
Glass was the Street - in Tinsel Peril (1518),Glass was the Street - in Tinsel PerilTree and Traveller stood.Filled was the Air with merry ventureHearty with Boys the Road.Shot the lithe Sleds like Shod vibrationsEmphacized and goneIt is the Past’s supreme italicMakes the Present mean -,Emily Dickinson,Joy
The morns are meeker than they were - (32),The morns are meeker than they were -  The nuts are getting brown - The berry’s cheek is plumper - The rose is out of town.    The maple wears a gayer scarf - The field a scarlet gown - Lest I sh'd be old-fashioned  I’ll put a trinket on.,Emily Dickinson,Joy
I would not paint — a picture — (348),"I would not paint — a picture —I'd rather be the OneIt's bright impossibilityTo dwell — delicious — on —And wonder how the fingers feelWhose rare — celestial — stir —Evokes so sweet a torment —Such sumptuous — Despair —I would not talk, like Cornets —I'd rather be the OneRaised softly to the Ceilings —And out, and easy on —Through Villages of Ether —Myself endued BalloonBy but a lip of Metal —The pier to my Pontoon —Nor would I be a Poet —It's finer — Own the Ear —Enamored — impotent — content —The License to revere,A privilege so awfulWhat would the Dower be,Had I the Art to stun myselfWith Bolts — of Melody!",Emily Dickinson,Joy
The Props assist the House (729),"The Props assist the HouseUntil the House is builtAnd then the Props withdrawAnd adequate, erect,The House support itselfAnd cease to recollectThe Augur and the Carpenter –Just such a retrospectHath the perfected Life –A Past of Plank and NailAnd slowness – then the scaffolds dropAffirming it a Soul –",Emily Dickinson,Joy
"After great pain, a formal feeling comes – (372)","After great pain, a formal feeling comes –The Nerves sit ceremonious, like Tombs –The stiff Heart questions ‘was it He, that bore,’And ‘Yesterday, or Centuries before’?The Feet, mechanical, go round –A Wooden wayOf Ground, or Air, or Ought –Regardless grown,A Quartz contentment, like a stone –This is the Hour of Lead –Remembered, if outlived,As Freezing persons, recollect the Snow –First – Chill – then Stupor – then the letting go –",Emily Dickinson,Surprise
Some keep the Sabbath going to Church – (236),"Some keep the Sabbath going to Church –I keep it, staying at Home –With a Bobolink for a Chorister –And an Orchard, for a Dome –Some keep the Sabbath in Surplice –I, just wear my Wings –And instead of tolling the Bell, for Church,Our little Sexton – sings.God preaches, a noted Clergyman –And the sermon is never long,So instead of getting to Heaven, at last –I’m going, all along.",Emily Dickinson,Joy
"A Bird, came down the Walk - (359)","A Bird, came down the Walk -  He did not know I saw - He bit an Angle Worm in halves  And ate the fellow, raw,    And then, he drank a Dew From a convenient Grass - And then hopped sidewise to the Wall  To let a Beetle pass -   He glanced with rapid eyes, That hurried all abroad - They looked like frightened Beads, I thought, He stirred his Velvet Head. -    Like one in danger, Cautious, I offered him a Crumb, And he unrolled his feathers,  And rowed him softer Home -   Than Oars divide the Ocean, Too silver for a seam, Or Butterflies, off Banks of Noon,  Leap, plashless as they swim.",Emily Dickinson,Fear
"All overgrown by cunning moss, (146)","All overgrown by cunning moss,All interspersed with weed,The little cage of “Currer Bell”In quiet “Haworth” laid.This Bird – observing othersWhen frosts too sharp becameRetire to other latitudes –Quietly did the same –But differed in returning –Since Yorkshire hills are green –Yet not in all the nests I meet –Can Nightingale be seen –",Emily Dickinson,Fear
Because I could not stop for Death – (479),"Because I could not stop for Death –He kindly stopped for me –The Carriage held but just Ourselves –And Immortality.We slowly drove – He knew no hasteAnd I had put awayMy labor and my leisure too,For His Civility –We passed the School, where Children stroveAt Recess – in the Ring –We passed the Fields of Gazing Grain –We passed the Setting Sun –Or rather – He passed Us –The Dews drew quivering and Chill –For only Gossamer, my Gown –My Tippet – only Tulle –We paused before a House that seemedA Swelling of the Ground –The Roof was scarcely visible –The Cornice – in the Ground –Since then – 'tis Centuries – and yetFeels shorter than the DayI first surmised the Horses' HeadsWere toward Eternity –",Emily Dickinson,Fear
How many times these low feet staggered (238),How many times these low feet staggered -Only the soldered mouth can tell -Try - can you stir the awful rivet -Try - can you lift the hasps of steel!Stroke the cool forehead - hot so often -Lift - if you care - the listless hair -Handle the adamantine fingersNever a thimble - more - shall wear -Buzz the dull flies - on the chamber window -Brave - shines the sun through the freckled pane -Fearless - the cobweb swings from the ceiling -Indolent Housewife - in Daisies - lain!,Emily Dickinson,Joy
Tell all the truth but tell it slant — (1263),Tell all the truth but tell it slant —Success in Circuit liesToo bright for our infirm DelightThe Truth's superb surpriseAs Lightning to the Children easedWith explanation kindThe Truth must dazzle graduallyOr every man be blind —,Emily Dickinson,Surprise
[All in green went my love riding],All in green went my love ridingon a great horse of goldinto the silver dawn. four lean hounds crouched low and smilingthe merry deer ran before. Fleeter be they than dappled dreamsthe swift sweet deerthe red rare deer. Four red roebuck at a white waterthe cruel bugle sang before. Horn at hip went my love ridingriding the echo downinto the silver dawn. four lean hounds crouched low and smilingthe level meadows ran before. Softer be they than slippered sleepthe lean lithe deerthe fleet flown deer. Four fleet does at a gold valleythe famished arrow sang before. Bow at belt went my love ridingriding the mountain downinto the silver dawn. four lean hounds crouched low and smilingthe sheer peaks ran before. Paler be they than daunting deaththe sleek slim deerthe tall tense deer. Four tall stags at a green mountainthe lucky hunter sang before. All in green went my love ridingon a great horse of goldinto the silver dawn. four lean hounds crouched low and smilingmy heart fell dead before.,E. E. Cummings,Anger
[love is more thicker than forget],love is more thicker than forgetmore thinner than recallmore seldom than a wave is wetmore frequent than to failit is most mad and moonlyand less it shall unbethan all the sea which onlyis deeper than the sealove is less always than to winless never than aliveless bigger than the least beginless littler than forgiveit is most sane and sunlyand more it cannot diethan all the sky which onlyis higher than the sky,E. E. Cummings,Fear
[as freedom is a breakfastfood],as freedom is a breakfastfoodor truth can live with right and wrongor molehills are from mountains made—long enough and just so longwill being pay the rent of seemand genius please the talentgangand water most encourage flameas hatracks into peachtrees growor hopes dance best on bald men’s hairand every finger is a toeand any courage is a fear—long enough and just so longwill the impure think all things pureand hornets wail by children stungor as the seeing are the blindand robins never welcome springnor flatfolk prove their world is roundnor dingsters die at break of dongand common’s rare and millstones float—long enough and just so longtomorrow will not be too lateworms are the words but joy’s the voicedown shall go which and up come whobreasts will be breasts thighs will be thighsdeeds cannot dream what dreams can do—time is a tree(this life one leaf)but love is the sky and i am for youjust so long and long enough,E. E. Cummings,Joy
[into the strenuous briefness],"into the strenuous briefnessLife:handorgans and Aprildarkness,friends i charge laughing.Into the hair-thin tintsof yellow dawn,into the women-coloured twilight i smilinglyglide.  Iinto the big vermilion departureswim,sayingly; (Do you think?)thei do,worldis probably madeof roses & hello: (of solongs and,ashes)",E. E. Cummings,Joy
[Buffalo Bill 's],Buffalo Bill ’sdefunct               who used to               ride a watersmooth-silver                                                                  stallionand break onetwothreefourfive pigeonsjustlikethat                                                                                                     Jesushe was a handsome man                                                   and what i want to know ishow do you like your blue-eyed boyMister Death,E. E. Cummings,Joy
the Cambridge ladies who live in furnished souls,"the Cambridge ladies who live in furnished souls are unbeautiful and have comfortable minds (also, with the church's protestant blessings daughters,unscented shapeless spirited) they believe in Christ and Longfellow, both dead, are invariably interested in so many things— at the present writing one still finds delighted fingers knitting for the is it Poles? perhaps. While permanent faces coyly bandy scandal of Mrs. N and Professor D .... the Cambridge ladies do not care, above Cambridge if sometimes in its box of sky lavender and cornerless, the moon rattles like a fragment of angry candy",E. E. Cummings,Joy
[in Just-],in Just- spring          when the world is mud- luscious the little lame balloonman whistles          far          and wee and eddieandbill come running from marbles and piracies and it's spring when the world is puddle-wonderful the queer old balloonman whistles far          and             wee and bettyandisbel come dancing from hop-scotch and jump-rope and it's spring and          the                   goat-footed balloonMan          whistles far and wee,E. E. Cummings,Surprise
